idx,kind,pca_pre_x,pca_pre_y,pca_rnd_x,pca_rnd_y,tsne_pre_x,tsne_pre_y,tsne_rnd_x,tsne_rnd_y
0,trend,-5.1162086,-4.544933,-3.3281815,-7.766159,-0.18552905,-26.211214,-3.1807337,-8.671811
1,trend,-4.58803,-3.9412344,-3.9460354,-10.533957,-1.9735736,-27.898378,-5.987974,-10.586096
2,trend,-4.440755,-3.9083018,-4.68425,-10.547027,-3.4094622,-28.65565,-8.4103985,-13.943853
3,trend,-3.917719,-2.0520017,15.645646,-9.638608,-6.5394244,-22.145699,7.691825,-19.717016
4,trend,-4.912661,-4.4383926,6.054391,-9.874751,-3.0552747,-29.662117,0.053634606,-16.84288
5,trend,-4.903492,-3.9531243,-0.8570281,-9.61843,-5.568333,-30.465233,-6.5977535,-18.365307
6,trend,-3.8768039,-2.7508447,-7.6900826,-10.129964,-4.182575,-21.258095,-7.6661124,-12.440655
7,trend,-4.574309,-3.672769,22.249958,-14.705156,-2.2625945,-24.76563,7.0935354,-17.50533
8,trend,-5.12911,-3.983143,1.2560472,-9.129773,-6.328888,-25.568125,-3.4993956,-15.6192255
9,trend,-4.3243313,-3.834893,-4.380064,-11.933611,-2.3495255,-28.68772,-5.946283,-14.640656
10,trend,-4.2771077,-3.5540473,12.912607,-10.496529,-5.856399,-27.784348,4.5708222,-16.13109
11,trend,-4.435901,-3.1998143,-11.441806,-6.832549,-3.0731077,-22.374166,-11.382295,-16.708546
12,trend,-4.50079,-2.8432765,-18.756062,-10.20446,-5.507774,-23.426744,-16.728354,-11.086519
13,trend,-4.3898005,-4.298834,-12.737358,-8.897568,-2.3058567,-26.93566,-11.814027,-14.320483
14,trend,-3.9705331,-3.7239566,-13.157264,-8.6787,0.25550002,-24.956993,-14.913127,-15.393544
15,trend,-4.6113973,-4.0272565,8.190704,-12.995661,-4.796707,-28.659082,0.8096725,-18.82689
16,trend,-4.8095894,-4.067596,-12.832203,-11.098118,-0.27073267,-25.544027,-15.088891,-11.030441
17,trend,-4.622623,-3.9724512,-5.817388,-10.20436,-5.19054,-29.325087,-8.073702,-14.680539
18,trend,-4.581615,-3.8643985,-2.6799014,-5.537508,-1.3784515,-27.633244,-8.443438,-18.283424
19,trend,-4.722479,-4.0583887,7.8191476,-9.940698,-1.4748454,-24.551027,-1.8655864,-17.67962
20,trend,-4.244677,-3.4438522,-10.601848,-10.312945,-6.70502,-24.048063,-15.830575,-11.554488
21,trend,-4.175679,-3.0934243,20.612518,-11.625604,-2.5156434,-22.107708,8.797171,-17.680864
22,trend,-4.6280704,-4.543611,3.5781174,-8.52872,-1.2341303,-28.280123,1.1824405,-12.7464905
23,trend,-4.3761535,-4.139758,3.5302248,-9.406501,-1.7168555,-28.582947,-3.7170658,-17.055447
24,trend,-4.73794,-3.9326806,-14.27704,-9.28459,-4.64453,-25.88831,-13.9504,-14.59746
25,trend,-3.599917,-2.0413451,14.725751,-9.773732,-6.445738,-21.48714,4.492439,-18.312054
26,trend,-3.4746356,-2.6647887,-0.8598529,-13.065705,-7.659171,-27.108744,-5.2053447,-16.577953
27,trend,-3.9852939,-3.4435387,4.6021543,-13.190855,-4.0602975,-26.686577,-0.55715406,-17.8933
28,trend,-4.7680683,-3.6943135,12.9608555,-10.346457,-2.4178257,-25.805239,2.1395152,-20.700535
29,trend,-3.4713569,-3.2121587,12.963886,-7.8095684,-8.024078,-26.537155,2.700615,-21.031168
30,trend,-4.8655643,-3.2589343,-20.95131,-10.573641,-3.9279182,-23.506477,-15.452988,-13.631487
31,trend,-4.4992547,-4.418041,-21.642162,-10.651215,-3.3765326,-27.024555,-16.174458,-14.447132
32,trend,-3.6590197,-3.8524647,-4.2704425,-5.851544,-2.6746974,-23.442194,-7.9943595,-17.383907
33,trend,-4.3511434,-4.179229,-1.3422626,-10.941299,-2.4050133,-28.072977,-4.502173,-17.613823
34,trend,-3.6539686,-3.6261706,9.65197,-9.5306225,-7.1800447,-28.091259,3.7144217,-16.538713
35,trend,-3.6630392,-3.9701378,-3.0044954,-8.249217,-4.5341597,-27.118126,-6.7019205,-16.194567
36,trend,-3.8791158,-3.7453766,12.120373,-7.1784678,-4.181348,-30.297482,2.1951942,-19.542004
37,trend,-4.3885813,-3.8532224,-13.335069,-8.975857,0.4296146,-28.64322,-14.680993,-11.851242
38,trend,-4.6311226,-3.9879792,-18.21498,-6.4105997,-2.4060557,-25.425558,-12.758763,-15.310797
39,trend,-5.498839,-4.4495444,-2.6641612,-7.970458,-2.4128528,-29.851347,-5.303334,-10.504731
40,trend,-4.8196864,-4.4118695,-6.752248,-8.505934,-0.5901383,-28.92535,-9.339123,-17.17416
41,trend,-4.3926067,-3.6005685,-18.800846,-11.650929,-1.498532,-27.525354,-15.236499,-14.416458
42,trend,-4.159506,-4.1200624,24.904528,-11.550334,-2.237244,-23.386179,9.596478,-17.397284
43,trend,-4.8104873,-4.1427007,18.409744,-13.23689,-1.1974761,-26.608112,4.6646323,-20.139414
44,trend,-5.1798205,-3.8037217,-9.106276,-12.053663,-2.6464543,-30.61387,-13.658516,-16.404352
45,trend,-4.205257,-3.8583448,19.823154,-13.31814,-4.7399673,-27.587545,8.619948,-17.174515
46,trend,-4.427872,-4.306442,-6.043051,-7.246984,-7.900775,-24.834915,-8.156365,-12.938855
