model,task,metric,layer,init,n_seeds,pre_mean,rnd_mean,mean,delta,ci_lo,ci_hi,q_value,per_seed_delta
qwen3_8b_base,P10_changepoint_location,balanced_accuracy,n/a,handcrafted,18,,,0.1859,,,,,
qwen3_8b_base,P10_changepoint_location,macro_f1,n/a,handcrafted,18,,,0.1824,,,,,
qwen3_8b_base,P1_trend_direction,balanced_accuracy,n/a,handcrafted,18,,,0.4849,,,,,
qwen3_8b_base,P1_trend_direction,macro_f1,n/a,handcrafted,18,,,0.4841,,,,,
qwen3_8b_base,P2_trend_strength,balanced_accuracy,n/a,handcrafted,18,,,0.4258,,,,,
qwen3_8b_base,P2_trend_strength,macro_f1,n/a,handcrafted,18,,,0.4253,,,,,
qwen3_8b_base,P2b_trend_strength_reg,r2,n/a,handcrafted,18,,,0.319,,,,,
qwen3_8b_base,P2b_trend_strength_reg,nmae,n/a,handcrafted,18,,,0.6699,,,,,
qwen3_8b_base,P3_periodicity_present,balanced_accuracy,n/a,handcrafted,18,,,0.9986,,,,,
qwen3_8b_base,P3_periodicity_present,macro_f1,n/a,handcrafted,18,,,0.999,,,,,
qwen3_8b_base,P4_dominant_period,balanced_accuracy,n/a,handcrafted,18,,,0.977,,,,,
qwen3_8b_base,P4_dominant_period,macro_f1,n/a,handcrafted,18,,,0.9772,,,,,
qwen3_8b_base,P4b_dominant_period_reg,r2,n/a,handcrafted,18,,,0.9213,,,,,
qwen3_8b_base,P4b_dominant_period_reg,nmae,n/a,handcrafted,18,,,0.2233,,,,,
qwen3_8b_base,P5_local_dependence,balanced_accuracy,n/a,handcrafted,18,,,0.5555,,,,,
qwen3_8b_base,P5_local_dependence,macro_f1,n/a,handcrafted,18,,,0.5362,,,,,
qwen3_8b_base,P5b_local_dependence_reg,r2,n/a,handcrafted,18,,,0.6624,,,,,
qwen3_8b_base,P5b_local_dependence_reg,nmae,n/a,handcrafted,18,,,0.4572,,,,,
qwen3_8b_base,P6_noise_level,balanced_accuracy,n/a,handcrafted,18,,,0.5013,,,,,
qwen3_8b_base,P6_noise_level,macro_f1,n/a,handcrafted,18,,,0.4413,,,,,
qwen3_8b_base,P7_anomaly_present,balanced_accuracy,n/a,handcrafted,18,,,0.7292,,,,,
qwen3_8b_base,P7_anomaly_present,macro_f1,n/a,handcrafted,18,,,0.7283,,,,,
qwen3_8b_base,P8_anomaly_location,balanced_accuracy,n/a,handcrafted,18,,,0.1508,,,,,
qwen3_8b_base,P8_anomaly_location,macro_f1,n/a,handcrafted,18,,,0.1364,,,,,
qwen3_8b_base,P9_changepoint_present,balanced_accuracy,n/a,handcrafted,18,,,0.8581,,,,,
qwen3_8b_base,P9_changepoint_present,macro_f1,n/a,handcrafted,18,,,0.858,,,,,
qwen3_8b_base,P10_changepoint_location,balanced_accuracy,L1,pretrained_minus_random,3,0.2838,0.3714,0.2838,-0.0875,-0.1358,-0.0342,,s7:-0.136;s17:-0.034;s27:-0.093
qwen3_8b_base,P10_changepoint_location,macro_f1,L1,pretrained_minus_random,3,0.2673,0.3584,0.2673,-0.0911,-0.1315,-0.038,,s7:-0.131;s17:-0.038;s27:-0.104
qwen3_8b_base,P1_trend_direction,balanced_accuracy,L1,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P1_trend_direction,macro_f1,L1,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P2_trend_strength,balanced_accuracy,L1,pretrained_minus_random,3,0.324,0.34,0.324,-0.016,-0.0576,0.0077,,s7:-0.058;s17:+0.008;s27:+0.002
qwen3_8b_base,P2_trend_strength,macro_f1,L1,pretrained_minus_random,3,0.3124,0.3356,0.3124,-0.0232,-0.0698,0.0063,,s7:-0.070;s17:-0.006;s27:+0.006
qwen3_8b_base,P2b_trend_strength_reg,r2,L1,pretrained_minus_random,3,-0.142,-0.7596,-0.142,0.6176,0.0842,0.9713,,s7:+0.797;s17:+0.971;s27:+0.084
qwen3_8b_base,P2b_trend_strength_reg,nmae,L1,pretrained_minus_random,3,0.877,1.0607,0.877,-0.1837,-0.2738,-0.0232,,s7:-0.254;s17:-0.274;s27:-0.023
qwen3_8b_base,P3_periodicity_present,balanced_accuracy,L1,pretrained_minus_random,3,0.9521,0.9542,0.9521,-0.0021,-0.0167,0.0125,,s7:-0.017;s17:-0.002;s27:+0.012
qwen3_8b_base,P3_periodicity_present,macro_f1,L1,pretrained_minus_random,3,0.9437,0.9486,0.9437,-0.0048,-0.0238,0.0151,,s7:-0.024;s17:-0.006;s27:+0.015
qwen3_8b_base,P4_dominant_period,balanced_accuracy,L1,pretrained_minus_random,3,0.2102,0.2489,0.2102,-0.0387,-0.1031,0.0012,,s7:+0.001;s17:-0.014;s27:-0.103
qwen3_8b_base,P4_dominant_period,macro_f1,L1,pretrained_minus_random,3,0.2059,0.2457,0.2059,-0.0397,-0.1082,0.0016,,s7:+0.002;s17:-0.013;s27:-0.108
qwen3_8b_base,P4b_dominant_period_reg,r2,L1,pretrained_minus_random,3,0.0389,-0.4763,0.0389,0.5152,0.309,0.8847,,s7:+0.352;s17:+0.885;s27:+0.309
qwen3_8b_base,P4b_dominant_period_reg,nmae,L1,pretrained_minus_random,3,0.7675,0.9547,0.7675,-0.1872,-0.2775,-0.1326,,s7:-0.151;s17:-0.277;s27:-0.133
qwen3_8b_base,P5_local_dependence,balanced_accuracy,L1,pretrained_minus_random,3,0.278,0.2877,0.278,-0.0096,-0.0585,0.0824,,s7:-0.053;s17:-0.058;s27:+0.082
qwen3_8b_base,P5_local_dependence,macro_f1,L1,pretrained_minus_random,3,0.2669,0.2857,0.2669,-0.0188,-0.0616,0.0654,,s7:-0.062;s17:-0.060;s27:+0.065
qwen3_8b_base,P5b_local_dependence_reg,r2,L1,pretrained_minus_random,3,-0.296,-1.0545,-0.296,0.7584,0.516,1.0048,,s7:+0.516;s17:+0.754;s27:+1.005
qwen3_8b_base,P5b_local_dependence_reg,nmae,L1,pretrained_minus_random,3,0.9412,1.1629,0.9412,-0.2217,-0.3173,-0.111,,s7:-0.111;s17:-0.237;s27:-0.317
qwen3_8b_base,P6_noise_level,balanced_accuracy,L1,pretrained_minus_random,3,0.3527,0.426,0.3527,-0.0733,-0.0886,-0.0634,,s7:-0.089;s17:-0.063;s27:-0.068
qwen3_8b_base,P6_noise_level,macro_f1,L1,pretrained_minus_random,3,0.3055,0.4223,0.3055,-0.1168,-0.1205,-0.1123,,s7:-0.121;s17:-0.112;s27:-0.118
qwen3_8b_base,P7_anomaly_present,balanced_accuracy,L1,pretrained_minus_random,3,0.569,0.569,0.569,-0.0,-0.1172,0.0898,,s7:-0.117;s17:+0.090;s27:+0.027
qwen3_8b_base,P7_anomaly_present,macro_f1,L1,pretrained_minus_random,3,0.568,0.5681,0.568,-0.0,-0.117,0.0896,,s7:-0.117;s17:+0.090;s27:+0.027
qwen3_8b_base,P8_anomaly_location,balanced_accuracy,L1,pretrained_minus_random,3,0.1649,0.1808,0.1649,-0.0159,-0.0963,0.0383,,s7:+0.038;s17:+0.010;s27:-0.096
qwen3_8b_base,P8_anomaly_location,macro_f1,L1,pretrained_minus_random,3,0.1615,0.1804,0.1615,-0.0189,-0.0887,0.0239,,s7:+0.024;s17:+0.008;s27:-0.089
qwen3_8b_base,P9_changepoint_present,balanced_accuracy,L1,pretrained_minus_random,3,0.9245,0.9362,0.9245,-0.0117,-0.0234,-0.0039,,s7:-0.004;s17:-0.008;s27:-0.023
qwen3_8b_base,P9_changepoint_present,macro_f1,L1,pretrained_minus_random,3,0.9243,0.936,0.9243,-0.0117,-0.0234,-0.0038,,s7:-0.004;s17:-0.008;s27:-0.023
qwen3_8b_base,P10_changepoint_location,balanced_accuracy,p25,pretrained_minus_random,3,0.3275,0.3185,0.3275,0.009,-0.0442,0.0739,,s7:-0.003;s17:-0.044;s27:+0.074
qwen3_8b_base,P10_changepoint_location,macro_f1,p25,pretrained_minus_random,3,0.3144,0.3082,0.3144,0.0062,-0.0396,0.0503,,s7:+0.008;s17:-0.040;s27:+0.050
qwen3_8b_base,P1_trend_direction,balanced_accuracy,p25,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P1_trend_direction,macro_f1,p25,pretrained_minus_random,3,1.0,1.0,1.0,0.0,0.0,0.0,,s7:+0.000;s17:+0.000;s27:+0.000
qwen3_8b_base,P2_trend_strength,balanced_accuracy,p25,pretrained_minus_random,3,0.3643,0.3497,0.3643,0.0146,-0.0232,0.0443,,s7:+0.023;s17:+0.044;s27:-0.023
qwen3_8b_base,P2_trend_strength,macro_f1,p25,pretrained_minus_random,3,0.354,0.3422,0.354,0.0117,-0.0187,0.0396,,s7:+0.014;s17:+0.040;s27:-0.019
qwen3_8b_base,P2b_trend_strength_reg,r2,p25,pretrained_minus_random,3,-0.0976,-0.2622,-0.0976,0.1647,-0.1058,0.4613,,s7:+0.139;s17:+0.461;s27:-0.106
